ano,municipio,frota
2010,Aceguá,1.731
2010,Água Santa,1.716
2010,Agudo,7.046
2010,Ajuricaba,3.698
2010,Alecrim,2.536
2010,Alegrete,25.323
2010,Alegria,1.429
2010,Almirante Tamandaré do Sul,923
2010,Alpestre,2.899
2010,Alto Alegre,821
2010,Alto Feliz,1.544
2010,Alvorada,51.888
2010,Amaral Ferrador,2.218
2010,Ametista do Sul,2.907
2010,André da Rocha,531
2010,Anta Gorda,3.286
2010,Antônio Prado,7.629
2010,Arambaré,1.046
2010,Araricá,2.059
2010,Aratiba,2.972
2010,Arroio do Meio,11.145
2010,Arroio do Padre,1.396
2010,Arroio do Sal,2.324
2010,Arroio do Tigre,4.951
2010,Arroio dos Ratos,4.492
2010,Arroio Grande,6.675
2010,Arvorezinha,5.145
2010,Augusto Pestana,3.925
2010,Áurea,1.465
2010,Bagé,45.312
2010,Balneário Pinhal,1.836
2010,Barão,2.847
2010,Barão de Cotegipe,2.770
2010,Barão do Triunfo,2.357
2010,Barra do Guarita,564
2010,Barra do Quaraí,851
2010,Barra do Ribeiro,3.724
2010,Barra do Rio Azul,751
2010,Barra Funda,1.452
2010,Barracão,1.934
2010,Barros Cassal,3.597
2010,Benjamin Constant do Sul,536
2010,Bento Gonçalves,61.600
2010,Boa Vista das Missões,942
2010,Boa Vista do Buricá,3.792
2010,Boa Vista do Cadeado,782
2010,Boa Vista do Incra,834
2010,Boa Vista do Sul,1.555
2010,Bom Jesus,3.497
2010,Bom Princípio,6.469
2010,Bom Progresso,826
2010,Bom Retiro do Sul,5.374
2010,Boqueirão do Leão,3.024
2010,Bossoroca,1.725
2010,Bozano,939
2010,Braga,1.248
2010,Brochier,2.866
2010,Butiá,6.875
2010,Caçapava do Sul,12.226
2010,Cacequi,3.146
2010,Cachoeira do Sul,33.433
2010,Cachoeirinha,53.057
2010,Cacique Doble,1.613
2010,Caibaté,1.947
2010,Caiçara,2.263
2010,Camaquã,28.193
2010,Camargo,1.209
2010,Cambará do Sul,2.044
2010,Campestre da Serra,1.358
2010,Campina das Missões,2.853
2010,Campinas do Sul,2.769
2010,Campo Bom,29.007
2010,Campo Novo,2.146
2010,Campos Borges,1.476
2010,Candelária,11.335
2010,Cândido Godói,3.402
2010,Candiota,3.132
2010,Canela,17.481
2010,Canguçu,24.899
2010,Canoas,141.649
2010,Canudos do Vale,624
2010,Capão Bonito do Sul,416
2010,Capão da Canoa,18.541
2010,Capão do Cipó,938
2010,Capão do Leão,7.702
2010,Capela de Santana,2.633
2010,Capitão,1.283
2010,Capivari do Sul,1.555
2010,Caraá,1.894
2010,Carazinho,29.244
2010,Carlos Barbosa,13.875
2010,Carlos Gomes,491
2010,Casca,5.266
2010,Caseiros,1.384
2010,Catuípe,4.203
2010,Caxias do Sul,231.960
2010,Centenário,1.184
2010,Cerrito,2.191
2010,Cerro Branco,1.779
2010,Cerro Grande,874
2010,Cerro Grande do Sul,4.645
2010,Cerro Largo,6.268
2010,Chapada,5.348
2010,Charqueadas,11.892
2010,Charrua,1.098
2010,Chiapetta,1.588
2010,Chuí,2.426
2010,Chuvisca,1.945
2010,Cidreira,2.491
2010,Ciríaco,2.305
2010,Colinas,1.411
2010,Colorado,1.932
2010,Condor,2.829
2010,Constantina,4.553
2010,Coqueiro Baixo,603
2010,Coqueiros do Sul,1.173
2010,Coronel Barros,1.083
2010,Coronel Bicaco,2.634
2010,Coronel Pilar,775
2010,Cotiporã,1.931
2010,Coxilha,1.187
2010,Crissiumal,6.867
2010,Cristal,2.603
2010,Cristal do Sul,868
2010,Cruz Alta,25.408
2010,Cruzaltense,912
2010,Cruzeiro do Sul,6.380
2010,David Canabarro,2.527
2010,Derrubadas,995
2010,Dezesseis de Novembro,850
2010,Dilermando de Aguiar,685
2010,Dois Irmãos,12.545
2010,Dois Irmãos das Missões,686
2010,Dois Lajeados,1.610
2010,Dom Feliciano,5.290
2010,Dom Pedrito,15.375
2010,Dom Pedro de Alcântara,1.094
2010,Dona Francisca,1.251
2010,Doutor Maurício Cardoso,2.296
2010,Doutor Ricardo,942
2010,Eldorado do Sul,10.163
2010,Encantado,12.614
2010,Encruzilhada do Sul,7.893
2010,Engenho Velho,438
2010,Entre-Ijuís,3.948
2010,Entre Rios do Sul,1.022
2010,Erebango,1.177
2010,Erechim,52.341
2010,Ernestina,1.704
2010,Erval Grande,1.737
2010,Erval Seco,2.327
2010,Esmeralda,1.126
2010,Esperança do Sul,1.025
2010,Espumoso,7.892
2010,Estação,2.903
2010,Estância Velha,21.106
2010,Esteio,35.574
2010,Estrela,18.727
2010,Estrela Velha,1.355
2010,Eugênio de Castro,1.097
2010,Fagundes Varela,1.407
2010,Farroupilha,33.570
2010,Faxinal do Soturno,2.957
2010,Faxinalzinho,791
2010,Fazenda Vilanova,1.906
2010,Feliz,7.259
2010,Flores da Cunha,16.637
2010,Floriano Peixoto,815
2010,Fontoura Xavier,3.317
2010,Formigueiro,2.235
2010,Forquetinha,1.128
2010,Fortaleza dos Valos,2.150
2010,Frederico Westphalen,14.189
2010,Garibaldi,18.273
2010,Garruchos,619
2010,Gaurama,2.928
2010,General Câmara,2.404
2010,Gentil,816
2010,Getúlio Vargas,8.403
2010,Giruá,6.840
2010,Glorinha,2.968
2010,Gramado,18.391
2010,Gramado dos Loureiros,577
2010,Gramado Xavier,1.271
2010,Gravataí,99.114
2010,Guabiju,708
2010,Guaíba,33.944
2010,Guaporé,11.404
2010,Guarani das Missões,3.380
2010,Harmonia,2.470
2010,Herval,2.258
2010,Herveiras,879
2010,Horizontina,10.909
2010,Hulha Negra,1.297
2010,Humaitá,2.408
2010,Ibarama,1.828
2010,Ibiaçá,2.455
2010,Ibiraiaras,3.763
2010,Ibirapuitã,1.529
2010,Ibirubá,10.761
2010,Igrejinha,15.260
2010,Ijuí,38.364
2010,Ilópolis,1.940
2010,Imbé,6.774
2010,Imigrante,1.579
2010,Independência,2.628
2010,Inhacorá,667
2010,Ipê,2.692
2010,Ipiranga do Sul,1.216
2010,Iraí,2.856
2010,Itaara,1.746
2010,Itacurubi,708
2010,Itapuca,736
2010,Itaqui,11.715
2010,Itati,788
2010,Itatiba do Sul,1.352
2010,Ivorá,827
2010,Ivoti,10.489
2010,Jaboticaba,1.239
2010,Jacuizinho,650
2010,Jacutinga,1.694
2010,Jaguarão,11.523
2010,Jaguari,4.493
2010,Jaquirana,1.113
2010,Jari,949
2010,Jóia,3.056
2010,Júlio de Castilhos,7.075
2010,Lagoa Bonita do Sul,991
2010,Lagoa dos Três Cantos,879
2010,Lagoa Vermelha,11.439
2010,Lagoão,1.649
2010,Lajeado,45.457
2010,Lajeado do Bugre,561
2010,Lavras do Sul,2.130
2010,Liberato Salzano,1.954
2010,Lindolfo Collor,2.050
2010,Linha Nova,831
2010,Maçambará,598
2010,Machadinho,1.975
2010,Mampituba,682
2010,Manoel Viana,2.084
2010,Maquiné,2.536
2010,Maratá,1.345
2010,Marau,19.664
2010,Marcelino Ramos,1.983
2010,Mariana Pimentel,1.597
2010,Mariano Moro,919
2010,Marques de Souza,1.957
2010,Mata,1.738
2010,Mato Castelhano,1.156
2010,Mato Leitão,2.702
2010,Mato Queimado,797
2010,Maximiliano de Almeida,2.258
2010,Minas do Leão,2.249
2010,Miraguaí,1.876
2010,Montauri,811
2010,Monte Alegre dos Campos,752
2010,Monte Belo do Sul,1.354
2010,Montenegro,31.476
2010,Mormaço,886
2010,Morrinhos do Sul,1.553
2010,Morro Redondo,3.503
2010,Morro Reuter,2.886
2010,Mostardas,3.513
2010,Muçum,2.496
2010,Muitos Capões,802
2010,Muliterno,777
2010,Não-Me-Toque,8.873
2010,Nicolau Vergueiro,831
2010,Nonoai,4.039
