ano,municipio,pibpc
2010,Aceguá,  23.777 
2010,Água Santa,  26.985 
2010,Agudo,  14.649 
2010,Ajuricaba,  18.308 
2010,Alecrim,  8.294 
2010,Alegrete,  13.704 
2010,Alegria,  10.843 
2010,Almirante Tamandaré do Sul,  29.465 
2010,Alpestre,  10.401 
2010,Alto Alegre,  15.978 
2010,Alto Feliz,  12.413 
2010,Alvorada,  6.953 
2010,Amaral Ferrador,  7.966 
2010,Ametista do Sul,  7.102 
2010,André da Rocha,  29.323 
2010,Anta Gorda,  14.678 
2010,Antônio Prado,  19.521 
2010,Arambaré,  18.141 
2010,Araricá,  15.330 
2010,Aratiba,  166.136 
2010,Arroio do Meio,  27.423 
2010,Arroio do Sal,  13.462 
2010,Arroio do Padre,  9.960 
2010,Arroio dos Ratos,  8.184 
2010,Arroio do Tigre,  14.846 
2010,Arroio Grande,  16.153 
2010,Arvorezinha,  11.197 
2010,Augusto Pestana,  19.811 
2010,Áurea,  13.052 
2010,Bagé,  11.029 
2010,Balneário Pinhal,  9.320 
2010,Barão,  19.441 
2010,Barão de Cotegipe,  15.326 
2010,Barão do Triunfo,  8.314 
2010,Barracão,  20.359 
2010,Barra do Guarita,  7.366 
2010,Barra do Quaraí,  28.266 
2010,Barra do Ribeiro,  13.337 
2010,Barra do Rio Azul,  13.504 
2010,Barra Funda,  31.016 
2010,Barros Cassal,  9.378 
2010,Benjamin Constant do Sul,  7.244 
2010,Bento Gonçalves,  32.681 
2010,Boa Vista das Missões,  35.473 
2010,Boa Vista do Buricá,  15.592 
2010,Boa Vista do Cadeado,  38.438 
2010,Boa Vista do Incra,  29.960 
2010,Boa Vista do Sul,  15.764 
2010,Bom Jesus,  14.964 
2010,Bom Princípio,  21.675 
2010,Bom Progresso,  13.762 
2010,Bom Retiro do Sul,  13.440 
2010,Boqueirão do Leão,  10.401 
2010,Bossoroca,  20.328 
2010,Bozano,  17.560 
2010,Braga,  12.842 
2010,Brochier,  11.442 
2010,Butiá,  12.773 
2010,Caçapava do Sul,  12.071 
2010,Cacequi,  11.515 
2010,Cachoeira do Sul,  14.579 
2010,Cachoeirinha,  35.913 
2010,Cacique Doble,  12.151 
2010,Caibaté,  13.990 
2010,Caiçara,  10.182 
2010,Camaquã,  16.482 
2010,Camargo,  20.196 
2010,Cambará do Sul,  16.152 
2010,Campestre da Serra,  19.143 
2010,Campina das Missões,  11.193 
2010,Campinas do Sul,  19.239 
2010,Campo Bom,  29.195 
2010,Campo Novo,  17.245 
2010,Campos Borges,  14.717 
2010,Candelária,  12.711 
2010,Cândido Godói,  19.232 
2010,Candiota,  75.154 
2010,Canela,  12.950 
2010,Canguçu,  8.989 
2010,Canoas,  39.250 
2010,Canudos do Vale,  12.366 
2010,Capão Bonito do Sul,  47.978 
2010,Capão da Canoa,  15.546 
2010,Capão do Cipó,  41.740 
2010,Capão do Leão,  11.198 
2010,Capivari do Sul,  33.230 
2010,Capela de Santana,  8.861 
2010,Capitão,  13.589 
2010,Carazinho,  19.527 
2010,Caraá,  6.550 
2010,Carlos Barbosa,  40.119 
2010,Carlos Gomes,  12.092 
2010,Casca,  24.773 
2010,Caseiros,  17.629 
2010,Catuípe,  16.259 
2010,Caxias do Sul,  37.823 
2010,Centenário,  10.687 
2010,Cerrito,  8.254 
2010,Cerro Branco,  10.016 
2010,Cerro Grande,  11.585 
2010,Cerro Grande do Sul,  8.648 
2010,Cerro Largo,  28.748 
2010,Chapada,  23.783 
2010,Charqueadas,  25.047 
2010,Charrua,  13.568 
2010,Chiapetta,  21.618 
2010,Chuí,  13.096 
2010,Chuvisca,  11.342 
2010,Cidreira,  10.653 
2010,Ciríaco,  15.944 
2010,Colinas,  14.133 
2010,Colorado,  24.448 
2010,Condor,  25.592 
2010,Constantina,  13.678 
2010,Coqueiro Baixo,  14.116 
2010,Coqueiros do Sul,  22.256 
2010,Coronel Barros,  18.763 
2010,Coronel Bicaco,  19.036 
2010,Coronel Pilar,  14.210 
2010,Cotiporã,  15.137 
2010,Coxilha,  34.027 
2010,Crissiumal,  13.584 
2010,Cristal,  12.581 
2010,Cristal do Sul,  10.616 
2010,Cruz Alta,  22.706 
2010,Cruzaltense,  16.368 
2010,Cruzeiro do Sul,  12.790 
2010,David Canabarro,  15.460 
2010,Derrubadas,  13.879 
2010,Dezesseis de Novembro,  8.039 
2010,Dilermando de Aguiar,  17.357 
2010,Dois Irmãos,  34.349 
2010,Dois Irmãos das Missões,  26.237 
2010,Dois Lajeados,  17.315 
2010,Dom Feliciano,  9.941 
2010,Dom Pedro de Alcântara,  16.550 
2010,Dom Pedrito,  15.995 
2010,Dona Francisca,  10.843 
2010,Doutor Maurício Cardoso,  16.505 
2010,Doutor Ricardo,  15.175 
2010,Eldorado do Sul,  19.879 
2010,Encantado,  21.362 
2010,Encruzilhada do Sul,  9.161 
2010,Engenho Velho,  18.701 
2010,Entre-Ijuís,  15.714 
2010,Entre Rios do Sul,  100.051 
2010,Erebango,  15.648 
2010,Erechim,  24.946 
2010,Ernestina,  22.279 
2010,Herval,  8.498 
2010,Erval Grande,  10.147 
2010,Erval Seco,  13.155 
